asset_name,license_type,commercial_use,confidence,detection_source,license_file
sherpa-onnx-zipformer-ja-reazonspeech-2024-08-01.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/reazon-research/reazonspeech-k2-v2
sherpa-onnx-moonshine-tiny-en-int8.tar.bz2,mit,yes,high,archive_license_file,sherpa-onnx-moonshine-tiny-en-int8/LICENSE
sherpa-onnx-moonshine-base-en-int8.tar.bz2,mit,yes,high,archive_license_file,sherpa-onnx-moonshine-base-en-int8/LICENSE
sherpa-onnx-zipformer-zh-en-2023-11-22.tar.bz2,proprietary-restricted,no,high,manual,https://github.com/k2-fsa/icefall/tree/master/egs/multi_zh_en/ASR
sherpa-onnx-zipformer-ja-en-reazonspeech-2025-01-17.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/reazon-research/reazonspeech-k2-v2
sherpa-onnx-fire-red-asr-large-zh_en-2025-02-16.tar.bz2,apache-2.0,yes,high,manual,https://k2-fsa.github.io/sherpa/onnx/FireRedAsr/index.html
sherpa-onnx-zipformer-gigaspeech-2023-12-12.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-zipformer-gigaspeech-2023-12-12
sherpa-onnx-streaming-zipformer-small-ctc-zh-2025-04-01.tar.bz2,no-license,no,high,manual,https://huggingface.co/csukuangfj/sherpa-onnx-streaming-zipformer-small-ctc-zh-int8-2025-04-01
sherpa-onnx-streaming-zipformer-small-ctc-zh-int8-2025-04-01.tar.bz2,no-license,no,high,manual,
sherpa-onnx-dolphin-base-ctc-multi-lang-int8-2025-04-02.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-dolphin-base-ctc-multi-lang-int8-2025-04-02
sherpa-onnx-dolphin-base-ctc-multi-lang-2025-04-02.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-dolphin-base-ctc-multi-lang-2025-04-02
sherpa-onnx-dolphin-small-ctc-multi-lang-int8-2025-04-02.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-dolphin-small-ctc-multi-lang-int8-2025-04-02
sherpa-onnx-dolphin-small-ctc-multi-lang-2025-04-02.tar.bz2,apache-2.0,yes,high,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-dolphin-small-ctc-multi-lang-2025-04-02
librknnrt-android.tar.bz2,no-license,no,high,manual,
sherpa-onnx-zipformer-ru-int8-2025-04-20.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/alphacep/vosk-model-ru/tree/main
sherpa-onnx-zipformer-ru-2025-04-20.tar.bz2,no-license,no,high,manual,https://huggingface.co/alphacep/vosk-model-ru/tree/main
sherpa-onnx-zipformer-vi-int8-2025-04-20.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/zzasdf/viet_iter3_pseudo_label
sherpa-onnx-zipformer-vi-2025-04-20.tar.bz2,apache-2.0,yes,high,manual,https://huggingface.co/zzasdf/viet_iter3_pseudo_label
sherpa-onnx-nemo-parakeet-tdt-0.6b-v2-fp16.tar.bz2,cc-by-4.0,yes,medium,huggingface_model_card,https://huggingface.co/csukuangfj/sherpa-onnx-nemo-parakeet-tdt-0.6b-v2-fp16
sherpa-onnx-nemo-transducer-giga-am-v2-russian-2025-04-19.tar.bz2,mit,yes,high,archive_license_file,sherpa-onnx-nemo-transducer-giga-am-v2-russian-2025-04-19/LICENSE
